Fold,AUC,Accuracy,Precision,Recall,F1
1,0.833231955107133,0.7981520966595593,0.6461038961038961,0.5320855614973262,0.5835777126099707
2,0.8312440790801932,0.7889125799573561,0.6254071661237784,0.5133689839572193,0.5638766519823789
3,0.823838789127687,0.7716927453769559,0.5747126436781609,0.5361930294906166,0.5547850208044383
4,0.8184849521203831,0.783072546230441,0.6061538461538462,0.5267379679144385,0.5636623748211731
5,0.8168798967790075,0.7923186344238976,0.6314102564102564,0.5267379679144385,0.5743440233236151
Mean,0.8247359344428808,0.786829720529642,0.6167575616939875,0.5270247021548078,0.5680491567083152
Std,0.006574728758458808,0.00901007276162746,0.02462087885008183,0.0076982283151702585,0.00993330102619561
